"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Narf",0.291042475553278,3.36831632057274,1.56818162444357,0.1615857794705,0.517028360825121,-5.45377364130094
"Ascc3",0.213180509427893,2.58975630622496,1.56808767028563,0.16160746809031,0.517028360825121,-5.45389510727279
"Rrp1",-0.193373030962438,5.3748306122613,-1.56747374241521,0.161749255162412,0.517327873866678,-5.45468872388537
"Nap1l5",-0.57859586104229,4.73870142638363,-1.56714859158362,0.161824395630844,0.517376468331958,-5.4551089840616
"A2m",-0.823221935849674,0.925737966467182,-1.56680636081719,0.161903518087226,0.517376468331958,-5.45555127671391
"Slc2a6",0.453919322018043,1.86912864521184,1.56678279636402,0.161908967417478,0.517376468331958,-5.45558172933159
"Camk2g",-0.39339874145876,3.35581320128581,-1.56619680840695,0.162044533019851,0.517655646827247,-5.45633894034686
"Loxl3",0.633091727501362,1.31594242871891,1.5658855407023,0.162116586093512,0.517731827131822,-5.45674110584465
"Ccnd2",-0.542364945482564,3.53142196525362,-1.56489338721979,0.162346450396539,0.518029021095035,-5.45802274571322
"Lmbrd2",0.246269767774526,2.69368314793115,1.56478962206314,0.16237050835469,0.518029021095035,-5.45815676532134
"Alg14",0.189931475555614,3.71529296506081,1.56449812858239,0.16243810879255,0.518029021095035,-5.45853322654663
"Pgcp",-1.11078730730179,2.42593363209516,-1.56443635645194,0.16245243775104,0.518029021095035,-5.45861300053107
"Cln3",0.284291101464985,1.64005129713868,1.56416641096497,0.162515069323044,0.518029021095035,-5.45896159737565
"Gla",0.263978294790563,1.44796741070437,1.56402109702867,0.162548793679385,0.518029021095035,-5.45914923846516
"Twsg1",-0.326028779465767,3.67780551085086,-1.56398590340882,0.162556962364145,0.518029021095035,-5.45919468209435
"Bmpr2",-0.264491033374313,3.56533107383778,-1.56381982732745,0.162595514907948,0.518029021095035,-5.4594091208162
"Rps4y2",-1.86395124250255,3.25416157164714,-1.56341216765475,0.162690184023994,0.518176920645816,-5.45993544939337
"Lrrc4b",-0.250689917686461,5.7838509247023,-1.5627612682512,0.162841445430883,0.518504928528811,-5.46077569239301
"Zfp81",-0.259853031409541,2.72665835559405,-1.56233868716854,0.162939717980406,0.518664069682738,-5.46132111343612
"Atrn",0.294106480513705,4.0587290892176,1.56145916243987,0.163144430153146,0.519161831065123,-5.46245608732908
"Fbxo33",0.232307841018508,2.76415377418938,1.56087615988051,0.16328025693444,0.519287408551093,-5.46320825350761
"Rgs19",-0.35307596156234,2.81610920141106,-1.56087471402148,0.163280593917788,0.519287408551093,-5.46321011873379
"Zfp219",-0.322467942144461,3.96743824289137,-1.56066544448314,0.163329374717099,0.51928877574353,-5.46348007781399
"Sparcl1",1.14330769212169,5.6514770526291,1.55995097556427,0.163496019233712,0.519654721311065,-5.46440162055589
"Tpm3",-0.186170625972425,4.57907456048319,-1.55975719684049,0.163541243764562,0.519654721311065,-5.46465152812804
"Pex5",0.19894271985741,3.09349049740273,1.55877620511441,0.163770367446951,0.520228851339914,-5.46591644652592
"Gmppb",0.293118509408921,2.44903129621605,1.55841641845505,0.163854474768496,0.520342122712493,-5.46638027266443
"Plxnb2",-0.372204272952285,4.16493672487804,-1.55745699224136,0.164078955061987,0.520674550970195,-5.46761689199166
"Zbtb34",0.238406226673913,1.20049515292418,1.55742320237192,0.164086866174829,0.520674550970195,-5.46766043780212
"Spag7",0.188903265951909,4.8128494627721,1.55706685813786,0.164170317362664,0.520674550970195,-5.4681196402684
"Sec24a",0.232794105769746,1.98718392637091,1.55685249078281,0.164220538304199,0.520674550970195,-5.46839586081015
"Hspe1",0.186712324223257,5.97210734900446,1.55678399101865,0.164236589088797,0.520674550970195,-5.46848412163428
"Hsd17b11",-0.874366683302681,1.79999560001025,-1.55672661169962,0.164250035259499,0.520674550970195,-5.46855805255122
"Whsc2",-0.274591833796327,2.66835660317084,-1.55558683254333,0.164517340021543,0.521227534742092,-5.47002634775702
"St5",-0.480152034849339,3.0400023666498,-1.555568936364,0.164521540295688,0.521227534742092,-5.47004939810452
"Tmem39a",0.179699840113934,2.46692752984939,1.55508591308591,0.164634944391401,0.521432999930298,-5.47067148708694
"Grik5",0.261115049372098,3.34103740192076,1.55425419709757,0.164830383717093,0.521750607142805,-5.47174244793162
"Psmd8",-0.208832203992228,5.86453029540255,-1.55424568703204,0.16483238454707,0.521750607142805,-5.47175340454917
"Rps20",0.301376964986377,7.80810713843775,1.55354732850287,0.164996654430471,0.522116696695128,-5.47265243784556
"Cdkn1a",0.406523203475324,4.23929367783371,1.55183908302793,0.165399110180882,0.523236065785765,-5.47485075266235
"Arid4a",-0.228932440076146,2.30926260033263,-1.55152005127094,0.165474373143851,0.523320014006171,-5.47526118393149
"1110057K04Rik",-0.238736564486357,3.50841455323672,-1.55028196566282,0.165766750117895,0.523978094077208,-5.47685359355802
"Atg9a",0.224750763762315,3.20181541189737,1.55022576283361,0.165780033861672,0.523978094077208,-5.47692586672621
"Snf8",0.21354581869621,3.13677468138668,1.54993039774705,0.165849860626958,0.524044572854819,-5.47730566668112
"Phax",-0.235725110128543,4.54901314214406,-1.54933182419121,0.165991451641418,0.524203658116693,-5.47807524769327
"Polr2b",-0.203681432355279,4.68816633140911,-1.54930489171401,0.165997825070286,0.524203658116693,-5.47810987126436
"Ext2",0.227711783845131,4.10092654836194,1.54875666027101,0.166127610242303,0.524459298648539,-5.47881459927737
"Arpc5l",-0.238413499036528,4.42223046913676,-1.54832915692389,0.166228879895957,0.524624792854121,-5.47936405496498
"Dek",-0.407416171791627,4.57271314692477,-1.54805178897263,0.166294615001921,0.524668622491989,-5.4797205084349
"Golga3",0.217570298235037,2.95838125410751,1.54767667873309,0.166383552787967,0.524668622491989,-5.48020252541539
